ID,Purchased,Do Not Email,Do Not Call,TotalVisits,Total Time Spent on Website,Page Views Per Visit,Specialization,Origin
2814,No,No,No,0,0,0,,API
2815,Yes,No,No,3,248,1.5,International Business,Landing Page Submission
2816,No,Yes,No,12,935,4,Business Administration,API
2817,No,No,No,5,161,5,Operations Management,Landing Page Submission
2818,No,No,No,2,1095,2,Human Resource Management,Landing Page Submission
2819,No,No,No,2,465,2,,API
2820,Yes,No,No,6,920,2,Operations Management,Landing Page Submission
2821,Yes,No,No,3,191,3,Travel and Tourism,Landing Page Submission
2822,No,No,No,6,94,2,Finance Management,Landing Page Submission
2823,No,No,No,0,0,0,,API
2824,No,No,No,5,15,5,"Banking, Investment And Insurance",Landing Page Submission
2825,No,No,No,5,6,5,Operations Management,Landing Page Submission
2826,No,No,No,15,69,3,Human Resource Management,Landing Page Submission
2827,Yes,No,No,7,1273,7,Marketing Management,Landing Page Submission
2828,Yes,No,No,2,70,2,,API
2829,Yes,No,No,5,676,5,Finance Management,Landing Page Submission
2830,No,No,No,1,192,1,,API
2831,No,No,No,9,890,9,"Banking, Investment And Insurance",Landing Page Submission
2832,No,No,No,4,365,4,"Banking, Investment And Insurance",Landing Page Submission
2833,No,No,No,4,444,4,Marketing Management,Landing Page Submission
2834,No,No,No,6,789,6,Business Administration,Landing Page Submission
2835,No,No,No,5,644,5,IT Projects Management,API
2836,Yes,No,No,3,1516,3,,API
2837,Yes,No,No,5,129,2.5,Marketing Management,Landing Page Submission
2838,Yes,No,No,5,251,5,Finance Management,Landing Page Submission
2839,No,No,No,4,182,4,Finance Management,Landing Page Submission
2840,No,Yes,No,5,215,5,IT Projects Management,Landing Page Submission
2841,No,No,No,3,26,3,Human Resource Management,Landing Page Submission
2842,Yes,No,No,5,921,5,Human Resource Management,API
2843,No,No,No,6,52,2,International Business,Landing Page Submission
2844,No,No,No,8,242,1.6,Human Resource Management,Landing Page Submission
2845,Yes,No,No,4,1655,1.33,Business Administration,Landing Page Submission
2846,No,Yes,No,1,255,1,,API
2847,No,No,No,5,637,2.5,IT Projects Management,Landing Page Submission
2848,No,No,No,5,104,5,International Business,Landing Page Submission
2849,No,No,No,2,93,2,E-Business,Landing Page Submission
2850,No,No,No,2,41,2,,API
2851,No,No,No,4,20,4,Supply Chain Management,Landing Page Submission
2852,Yes,No,No,3,797,3,Marketing Management,Landing Page Submission
2853,Yes,No,No,7,1074,3.5,Operations Management,Landing Page Submission
2854,Yes,No,No,6,958,6,"Banking, Investment And Insurance",Landing Page Submission
2855,Yes,No,No,4,906,4,Marketing Management,Landing Page Submission
2856,No,No,No,3,166,3,Retail Management,Landing Page Submission
2857,Yes,No,No,6,781,2,Operations Management,API
2858,Yes,No,No,4,343,4,Human Resource Management,API
2859,No,Yes,No,4,231,4,Finance Management,Landing Page Submission
2860,No,Yes,No,2,1017,2,IT Projects Management,Landing Page Submission
2861,No,No,No,4,1723,4,"Banking, Investment And Insurance",API
2862,No,No,No,29,209,2.9,Media and Advertising,Landing Page Submission
2863,No,No,No,6,250,6,IT Projects Management,Landing Page Submission
2864,No,No,No,3,24,3,Supply Chain Management,Landing Page Submission
2865,No,No,No,2,403,2,,Landing Page Submission
2866,No,No,No,10,16,5,,API
2867,Yes,No,No,4,422,2,Retail Management,Landing Page Submission
2868,No,No,No,8,297,8,Healthcare Management,Landing Page Submission
2869,Yes,No,No,2,803,2,,API
2870,No,No,No,4,1437,4,Human Resource Management,Landing Page Submission
2871,Yes,No,No,5,1464,5,International Business,Landing Page Submission
2872,No,Yes,No,0,0,0,,API
2873,No,No,No,2,954,2,Business Administration,Landing Page Submission
2874,Yes,No,No,4,494,4,Finance Management,Landing Page Submission
2875,No,No,No,10,479,3.33,Operations Management,Landing Page Submission
2876,Yes,No,No,11,442,5.5,Finance Management,Landing Page Submission
2877,No,No,No,2,368,2,Marketing Management,Landing Page Submission
2878,Yes,No,No,5,183,2.5,Marketing Management,Landing Page Submission
2879,Yes,No,No,6,1332,2,Supply Chain Management,Landing Page Submission
2880,No,No,No,2,589,2,Human Resource Management,Landing Page Submission
2881,No,No,No,3,4,3,Finance Management,Landing Page Submission
2882,No,No,No,7,448,2.33,Finance Management,Landing Page Submission
2883,Yes,No,No,16,436,1.23,,API
2884,No,No,No,1,44,1,Business Administration,Landing Page Submission
2885,Yes,No,No,0,0,0,,API
2886,No,Yes,No,1,1185,1,Human Resource Management,Landing Page Submission
2887,Yes,No,No,3,1128,3,,API
2888,No,No,No,2,103,2,Finance Management,Landing Page Submission
2889,Yes,No,No,12,766,6,Travel and Tourism,Landing Page Submission
2890,No,No,No,3,149,3,Marketing Management,Landing Page Submission
2891,Yes,No,No,4,1811,4,,API
2892,No,No,No,0,0,0,,API
2893,No,No,No,3,344,3,,API
2894,No,No,No,4,1093,4,Marketing Management,Landing Page Submission
2895,Yes,No,No,5,1287,5,Human Resource Management,Landing Page Submission
2896,No,No,No,4,502,4,Media and Advertising,Landing Page Submission
2897,Yes,No,No,2,1290,2,Marketing Management,Landing Page Submission
2898,Yes,No,No,8,1355,8,Finance Management,Landing Page Submission
2899,No,Yes,No,5,25,5,"Banking, Investment And Insurance",Landing Page Submission
2900,No,No,No,5,993,5,Travel and Tourism,Landing Page Submission
2901,Yes,No,No,5,96,1.67,Finance Management,Landing Page Submission
2902,No,No,No,0,0,0,,API
2903,No,No,No,4,234,4,Finance Management,Landing Page Submission
2904,No,No,No,1,62,1,Operations Management,Landing Page Submission
2905,Yes,No,No,6,1295,2,Marketing Management,Landing Page Submission
2906,No,Yes,No,5,551,5,Human Resource Management,Landing Page Submission
2907,No,No,No,3,538,1.5,,API
2908,Yes,No,No,9,1623,2.25,Media and Advertising,Landing Page Submission
2909,No,Yes,No,7,37,7,Marketing Management,Landing Page Submission
2910,No,No,No,1,241,1,Human Resource Management,API
2911,No,No,No,7,159,2.33,IT Projects Management,Landing Page Submission
2912,No,No,No,13,112,4.33,Finance Management,Landing Page Submission
2913,Yes,No,No,0,0,0,Supply Chain Management,API
2914,Yes,No,No,0,0,0,Human Resource Management,Lead Add Form
2915,Yes,No,No,2,1119,2,Finance Management,Landing Page Submission
2916,No,No,No,2,270,2,,API
2917,No,No,No,4,639,4,International Business,Landing Page Submission
2918,No,No,No,0,0,0,,API
2919,Yes,No,No,0,0,0,Marketing Management,Lead Add Form
2920,No,No,No,7,52,7,Human Resource Management,Landing Page Submission
2921,No,No,No,4,1161,4,Marketing Management,Landing Page Submission
2922,Yes,No,No,,1055,,,Lead Add Form
2923,Yes,No,No,0,0,0,,Lead Add Form
2924,Yes,No,No,3,1147,1.5,,API
2925,Yes,No,No,,521,,,Lead Add Form
2926,Yes,No,No,,1182,,,Lead Add Form
2927,Yes,No,No,4,1512,4,Retail Management,Landing Page Submission
2928,No,No,No,0,0,0,,API
2929,No,No,No,2,442,2,Marketing Management,Landing Page Submission
2930,No,Yes,No,2,597,2,Marketing Management,Landing Page Submission
2931,Yes,No,No,6,273,2,IT Projects Management,Landing Page Submission
2932,No,No,No,0,0,0,,API
2933,Yes,No,No,0,0,0,,Lead Add Form
2934,Yes,No,No,0,0,0,Human Resource Management,Lead Add Form
2935,No,No,No,2,350,2,,API
2936,Yes,No,No,4,1646,4,Hospitality Management,Landing Page Submission
2937,Yes,No,No,7,1290,7,Human Resource Management,Landing Page Submission
2938,No,No,No,4,201,4,,Landing Page Submission
2939,Yes,No,No,4,1104,4,Operations Management,Landing Page Submission
2940,No,No,No,6,1073,3,Healthcare Management,Landing Page Submission
2941,Yes,No,No,2,1331,2,,API
2942,No,No,No,0,0,0,,API
2943,No,No,No,,109,,,Lead Add Form
2944,Yes,No,No,3,644,3,Travel and Tourism,Landing Page Submission
2945,Yes,No,No,0,0,0,,API
2946,No,No,No,4,59,2,Travel and Tourism,Landing Page Submission
2947,Yes,No,No,2,1576,1,,API
2948,No,No,No,1,79,1,,API
2949,No,No,No,2,385,1,,API
2950,No,No,No,4,217,2,Finance Management,Landing Page Submission
2951,Yes,No,No,14,17,14,Finance Management,Landing Page Submission
2952,No,No,No,3,57,3,Human Resource Management,Landing Page Submission
2953,Yes,No,No,5,653,2.5,Human Resource Management,Landing Page Submission
2954,No,No,No,3,20,3,IT Projects Management,Landing Page Submission
2955,No,No,No,2,189,1,,API
2956,Yes,No,No,6,1162,6,,API
2957,Yes,No,No,4,1344,4,Marketing Management,Landing Page Submission
2958,No,No,No,4,44,4,IT Projects Management,Landing Page Submission
2959,No,No,No,3,690,3,Finance Management,Landing Page Submission
2960,Yes,No,No,0,0,0,,API
2961,Yes,No,No,0,0,0,,Lead Add Form
2962,Yes,No,No,3,1248,1,Human Resource Management,Lead Add Form
2963,Yes,No,No,0,0,0,"Banking, Investment And Insurance",Lead Add Form
2964,Yes,No,No,7,114,7,,API
2965,No,No,No,0,0,0,,API
2966,No,No,No,2,212,2,Supply Chain Management,Landing Page Submission
2967,No,No,No,0,0,0,,API
2968,Yes,No,No,4,362,4,Supply Chain Management,Landing Page Submission
2969,No,No,No,4,183,1,,API
2970,No,Yes,No,3,898,1.5,Operations Management,Landing Page Submission
2971,No,No,No,0,0,0,,API
2972,No,No,No,3,237,3,,API
2973,No,No,No,11,529,5.5,Finance Management,Landing Page Submission
2974,No,No,No,4,453,4,Operations Management,Landing Page Submission
2975,Yes,Yes,No,2,440,2,,API
2976,No,No,No,4,12,4,Human Resource Management,Landing Page Submission
2977,Yes,No,No,,532,,Human Resource Management,Lead Add Form
2978,Yes,No,No,4,222,4,"Banking, Investment And Insurance",Landing Page Submission
2979,Yes,No,No,16,1448,1.78,E-COMMERCE,API
2980,Yes,No,No,0,0,0,,Lead Add Form
2981,No,No,No,1,247,1,,API
2982,No,No,No,8,546,2.67,Human Resource Management,Landing Page Submission
2983,Yes,No,No,5,1469,5,"Banking, Investment And Insurance",API
2984,No,No,No,3,27,3,Travel and Tourism,Landing Page Submission
2985,Yes,No,No,4,1101,1.33,Finance Management,Lead Add Form
2986,Yes,No,No,4,1855,2,IT Projects Management,Landing Page Submission
2987,Yes,No,No,3,1286,3,Finance Management,Landing Page Submission
2988,No,No,No,4,218,4,Marketing Management,Landing Page Submission
2989,Yes,No,No,6,1232,3,,API
2990,Yes,No,No,8,1495,4,Operations Management,Landing Page Submission
2991,No,No,No,2,1360,2,,API
2992,No,No,No,3,323,3,Hospitality Management,Landing Page Submission
2993,No,No,No,2,1409,2,,API
2994,No,Yes,No,1,186,1,Finance Management,Landing Page Submission
2995,Yes,No,No,7,257,7,Healthcare Management,Landing Page Submission
2996,No,No,No,7,74,1.4,E-COMMERCE,API
2997,No,No,No,3,307,3,Finance Management,Landing Page Submission
2998,No,No,No,3,409,3,Operations Management,Landing Page Submission
2999,No,No,No,3,361,1.5,Supply Chain Management,API
3000,No,No,No,3,13,3,,API
3001,No,No,No,6,1271,3,Supply Chain Management,Landing Page Submission
3002,Yes,Yes,No,2,1645,2,Human Resource Management,Landing Page Submission
3003,No,No,No,3,871,3,Marketing Management,Landing Page Submission
3004,No,No,No,3,1354,3,Human Resource Management,Landing Page Submission
3005,No,Yes,No,4,44,4,Human Resource Management,Landing Page Submission
3006,Yes,No,No,3,1497,3,Finance Management,Landing Page Submission
3007,Yes,No,No,5,952,5,Operations Management,Landing Page Submission
3008,No,No,No,4,177,4,Marketing Management,Landing Page Submission
3009,No,No,No,4,1221,4,Human Resource Management,Landing Page Submission
3010,No,No,No,2,397,2,Finance Management,Landing Page Submission
3011,Yes,Yes,No,3,1653,3,Business Administration,Landing Page Submission
3012,No,No,No,5,228,2.5,Finance Management,Landing Page Submission
3013,Yes,No,No,8,1329,4,Healthcare Management,API
3014,No,No,No,8,782,2.67,Finance Management,Landing Page Submission
3015,No,No,No,5,213,2.5,Finance Management,Landing Page Submission
3016,Yes,No,No,3,1528,3,,API
3017,No,No,No,4,488,4,Media and Advertising,Landing Page Submission
3018,Yes,No,No,4,1173,4,Supply Chain Management,Landing Page Submission
3019,No,No,No,3,194,3,Travel and Tourism,Landing Page Submission
3020,Yes,No,No,0,0,0,IT Projects Management,Lead Add Form
3021,Yes,No,No,9,62,2.25,Finance Management,Landing Page Submission
3022,Yes,No,No,2,678,2,Hospitality Management,Landing Page Submission
3023,Yes,No,No,0,0,0,,Lead Add Form
3024,No,Yes,No,2,83,2,Operations Management,Landing Page Submission
3025,Yes,No,No,3,1373,1,,API
3026,No,No,No,3,49,3,Rural and Agribusiness,Landing Page Submission
3027,No,No,No,2,1553,1,,API
3028,No,Yes,No,5,19,2.5,Human Resource Management,Landing Page Submission
3029,Yes,No,No,0,0,0,Operations Management,Lead Add Form
3030,No,No,No,0,0,0,,API
3031,No,No,No,2,139,2,,API
3032,Yes,No,No,0,0,0,,Lead Add Form
3033,Yes,No,No,,1995,,,Lead Add Form
3034,Yes,No,No,0,0,0,,Lead Add Form
3035,Yes,No,No,1,1247,1,,Lead Add Form
3036,No,No,No,5,1049,5,Marketing Management,Landing Page Submission
3037,No,No,No,2,234,2,,API
3038,No,No,No,2,450,2,Finance Management,Landing Page Submission
3039,No,No,No,2,64,1,,API
3040,No,No,No,2,1048,2,,API
3041,No,No,No,8,18,2,Finance Management,Landing Page Submission
3042,No,No,No,2,1492,2,Rural and Agribusiness,Landing Page Submission
3043,Yes,No,No,0,0,0,Healthcare Management,Lead Add Form
3044,No,No,No,2,312,2,,API
3045,Yes,No,No,4,906,4,Finance Management,Landing Page Submission
3046,No,No,No,4,1095,4,Marketing Management,Landing Page Submission
3047,No,No,No,2,1283,1,,API
3048,No,No,No,4,400,4,Marketing Management,Landing Page Submission
3049,No,No,No,2,130,1,,API
3050,Yes,No,No,4,266,2,,API
3051,No,No,No,8,58,2.67,,API
3052,Yes,No,No,6,1234,2,Human Resource Management,Landing Page Submission
3053,Yes,No,No,0,0,0,,API
3054,No,No,No,2,507,1,Marketing Management,API
3055,No,Yes,No,2,274,2,,API
3056,Yes,No,No,3,1248,3,Travel and Tourism,Landing Page Submission
3057,Yes,Yes,No,3,949,3,Marketing Management,API
3058,No,No,No,6,763,3,Finance Management,Landing Page Submission
3059,No,No,No,2,33,1,,API
3060,No,No,No,2,298,2,Finance Management,Landing Page Submission
3061,Yes,No,No,4,1554,4,Finance Management,Landing Page Submission
3062,No,No,No,0,0,0,,API
3063,No,No,No,7,137,3.5,Retail Management,Landing Page Submission
3064,Yes,No,No,8,1054,2.67,Rural and Agribusiness,API
3065,No,No,No,,278,,Human Resource Management,Lead Add Form
3066,Yes,No,No,0,0,0,,API
3067,No,No,No,3,254,3,,API
3068,No,No,No,6,239,6,Human Resource Management,Landing Page Submission
3069,Yes,No,No,0,0,0,,API
3070,Yes,No,No,0,0,0,Marketing Management,Lead Add Form
3071,Yes,No,No,3,519,1,,API
3072,No,No,No,4,464,4,Supply Chain Management,Landing Page Submission
3073,Yes,No,No,4,390,4,"Banking, Investment And Insurance",Landing Page Submission
3074,Yes,No,No,5,992,1.25,Human Resource Management,Landing Page Submission
3075,Yes,No,No,4,813,2,Travel and Tourism,Landing Page Submission
3076,No,No,No,8,75,8,Human Resource Management,Landing Page Submission
3077,Yes,No,No,0,0,0,,API
3078,Yes,No,No,3,1099,1.5,,API
3079,Yes,No,No,0,0,0,Human Resource Management,Lead Add Form
3080,No,No,No,8,350,8,Retail Management,Landing Page Submission
3081,No,No,No,10,524,1.67,Human Resource Management,Landing Page Submission
3082,No,No,No,11,287,11,IT Projects Management,Landing Page Submission
3083,No,No,No,4,204,4,International Business,Landing Page Submission
3084,Yes,No,No,3,664,3,Marketing Management,Landing Page Submission
3085,No,No,No,7,231,7,Healthcare Management,Landing Page Submission
3086,Yes,No,No,3,1580,1,Finance Management,API
3087,Yes,No,No,4,998,1.33,,API
3088,No,No,No,4,1060,4,Business Administration,Landing Page Submission
3089,No,No,No,3,232,3,,API
3090,Yes,No,No,4,1656,2,,API
3091,Yes,No,No,5,959,2.5,Human Resource Management,Landing Page Submission
3092,No,Yes,No,3,443,1.5,Supply Chain Management,Landing Page Submission
3093,No,No,No,0,0,0,,API
3094,No,No,No,23,351,3.83,"Banking, Investment And Insurance",Landing Page Submission
3095,No,No,No,0,0,0,,API
3096,Yes,No,No,5,1925,5,International Business,Landing Page Submission
3097,No,No,No,0,0,0,,API
3098,Yes,No,No,2,503,2,Marketing Management,Landing Page Submission
3099,No,No,No,3,1046,3,Healthcare Management,Landing Page Submission
3100,No,No,No,2,208,2,Operations Management,Landing Page Submission
3101,No,No,No,2,268,2,,API
3102,No,No,No,2,260,2,Human Resource Management,Landing Page Submission
3103,No,Yes,No,2,305,2,Supply Chain Management,Landing Page Submission
3104,Yes,No,No,9,181,4.5,Human Resource Management,Landing Page Submission
3105,No,No,No,0,0,0,,API
3106,No,Yes,No,2,358,2,Services Excellence,Landing Page Submission
3107,No,No,No,0,0,0,,API
3108,No,Yes,No,5,71,5,Supply Chain Management,Landing Page Submission
3109,No,No,No,0,0,0,,API
3110,No,No,No,5,2,2.5,Human Resource Management,Landing Page Submission
3111,No,No,No,0,0,0,,API
3112,No,No,No,0,0,0,,API
3113,No,No,No,2,412,2,E-COMMERCE,Landing Page Submission
3114,Yes,No,No,4,2094,4,E-Business,Landing Page Submission
3115,No,No,No,3,1188,3,International Business,API
3116,No,No,No,7,402,7,Marketing Management,Landing Page Submission
3117,No,Yes,No,0,0,0,,API
3118,No,No,No,0,0,0,,API
3119,No,No,No,2,903,2,Business Administration,Landing Page Submission
3120,Yes,No,No,2,1485,2,Healthcare Management,API
3121,Yes,No,No,6,94,2,Healthcare Management,Landing Page Submission
3122,No,Yes,No,2,1577,2,Hospitality Management,Landing Page Submission
3123,No,No,No,0,0,0,,API
3124,Yes,No,No,2,997,2,Marketing Management,API
3125,No,No,No,4,358,4,,API
3126,No,No,No,0,0,0,,API
3127,No,No,No,0,0,0,,API
3128,No,No,No,0,0,0,,API
3129,No,No,No,2,37,1,,API
3130,No,No,No,0,0,0,,API
3131,No,No,No,7,62,1.75,Marketing Management,Landing Page Submission
3132,No,No,No,5,134,5,Travel and Tourism,Landing Page Submission
3133,Yes,No,No,4,1237,4,Finance Management,Landing Page Submission
3134,No,No,No,0,0,0,,API
3135,No,No,No,0,0,0,,API
3136,No,No,No,2,320,2,Marketing Management,Landing Page Submission
3137,No,No,No,5,375,5,Finance Management,Landing Page Submission
3138,No,No,No,0,0,0,,API
3139,No,No,No,0,0,0,,API
3140,No,No,No,0,0,0,,API
3141,No,No,No,0,0,0,,API
3142,No,No,No,0,0,0,,API
3143,No,No,No,0,0,0,,API
3144,No,No,No,0,0,0,,API
3145,No,No,No,3,86,1.5,,API
3146,No,No,No,2,137,2,"Banking, Investment And Insurance",Landing Page Submission
3147,Yes,No,No,0,0,0,Business Administration,Lead Add Form
3148,Yes,No,No,7,905,3.5,Business Administration,API
3149,No,No,No,0,0,0,,API
3150,Yes,No,No,2,245,2,Marketing Management,Landing Page Submission
3151,Yes,No,No,2,16,2,IT Projects Management,Landing Page Submission
3152,Yes,No,No,0,0,0,,Lead Add Form
3153,No,No,No,3,1932,3,Hospitality Management,Landing Page Submission
3154,No,No,No,5,1403,2.5,IT Projects Management,Landing Page Submission
3155,No,No,No,5,97,2.5,Marketing Management,Landing Page Submission
3156,No,No,No,2,1491,1,,API
3157,No,No,No,2,42,2,Operations Management,Landing Page Submission
3158,No,No,No,3,187,1.5,,API
3159,No,No,No,0,0,0,,API
3160,No,No,No,0,0,0,,API
3161,No,No,No,2,971,2,,API
3162,No,No,No,0,0,0,,API
3163,Yes,No,No,0,0,0,Hospitality Management,Lead Add Form
3164,Yes,No,No,5,1303,2.5,Marketing Management,Landing Page Submission
3165,No,No,No,5,37,5,Business Administration,Landing Page Submission
3166,Yes,No,No,3,176,3,Finance Management,Landing Page Submission
3167,Yes,No,No,3,294,3,Human Resource Management,Landing Page Submission
3168,No,No,No,5,464,5,,API
3169,Yes,No,No,,1113,,,Lead Add Form
3170,No,No,No,2,78,2,Marketing Management,Landing Page Submission
3171,Yes,No,No,0,0,0,,API
3172,No,No,No,5,209,1.67,Media and Advertising,API
3173,Yes,No,No,2,1505,2,,API
3174,Yes,No,No,8,1562,2.67,Marketing Management,Landing Page Submission
3175,No,No,No,2,55,2,,API
3176,Yes,No,No,12,1248,2.4,Operations Management,Landing Page Submission
3177,Yes,No,No,0,0,0,International Business,Lead Add Form
3178,Yes,No,No,4,921,2,Marketing Management,Landing Page Submission
3179,No,No,No,0,0,0,,API
3180,Yes,No,No,4,391,4,Finance Management,Landing Page Submission
3181,Yes,Yes,No,6,1525,6,Travel and Tourism,Landing Page Submission
3182,No,No,No,6,268,6,Marketing Management,Landing Page Submission
3183,Yes,No,No,0,0,0,IT Projects Management,Lead Add Form
3184,Yes,No,No,0,0,0,,API
3185,No,No,No,2,378,2,Services Excellence,Landing Page Submission
3186,Yes,No,No,0,0,0,,Lead Add Form
3187,Yes,No,No,2,777,1,,API
3188,Yes,Yes,No,0,0,0,Marketing Management,Lead Add Form
3189,No,No,No,0,0,0,"Banking, Investment And Insurance",Lead Add Form
3190,No,No,No,2,701,2,Marketing Management,Landing Page Submission
3191,Yes,No,No,4,1600,4,,API
3192,No,No,No,4,678,4,Human Resource Management,Landing Page Submission
3193,Yes,No,No,2,1051,2,Marketing Management,API
3194,Yes,No,No,10,216,1.25,Travel and Tourism,Landing Page Submission
3195,Yes,No,No,0,0,0,Healthcare Management,Lead Add Form
3196,No,No,No,6,259,6,,API
3197,No,No,No,1,307,1,,API
3198,No,No,No,0,0,0,,API
3199,Yes,No,No,3,248,1.5,International Business,Landing Page Submission
3200,No,No,No,2,208,2,Marketing Management,Landing Page Submission
3201,No,No,No,6,295,2,"Banking, Investment And Insurance",Landing Page Submission
3202,No,No,No,5,178,2.5,,API
3203,No,No,No,2,112,2,,API
3204,No,No,No,13,11,6.5,E-COMMERCE,Landing Page Submission
3205,Yes,No,No,4,940,2,"Banking, Investment And Insurance",Landing Page Submission
3206,No,No,No,2,499,2,Finance Management,Landing Page Submission
3207,No,No,No,2,109,2,"Banking, Investment And Insurance",Landing Page Submission
3208,Yes,No,No,4,1670,4,Media and Advertising,Landing Page Submission
3209,No,No,No,0,0,0,,API
3210,Yes,No,No,5,883,5,,API
3211,Yes,No,No,0,0,0,Business Administration,Lead Add Form
3212,Yes,No,No,4,130,4,Human Resource Management,Landing Page Submission
3213,Yes,No,No,0,0,0,"Banking, Investment And Insurance",Lead Add Form
3214,No,No,No,3,300,3,Finance Management,Landing Page Submission
3215,No,No,No,10,57,10,Hospitality Management,Landing Page Submission
3216,No,No,No,3,560,3,,API
3217,No,No,No,0,0,0,,API
3218,Yes,No,No,0,0,0,,API
3219,Yes,No,No,0,0,0,,API
3220,No,No,No,3,1324,1.5,,API
3221,No,No,No,6,508,6,Human Resource Management,Landing Page Submission
3222,Yes,No,No,2,896,1,,API
3223,No,No,No,5,233,5,Finance Management,Landing Page Submission
3224,Yes,No,No,4,156,1.33,International Business,Landing Page Submission
3225,No,No,No,3,281,1.5,Human Resource Management,API
3226,Yes,No,No,5,217,2.5,E-COMMERCE,Landing Page Submission
3227,No,No,No,2,183,2,"Banking, Investment And Insurance",Landing Page Submission
3228,Yes,No,No,4,419,1.33,IT Projects Management,Landing Page Submission
3229,No,No,No,4,1316,4,IT Projects Management,Landing Page Submission
3230,No,No,No,1,163,1,Business Administration,Landing Page Submission
3231,Yes,No,No,0,0,0,,API
3232,No,No,No,1,32,1,,API
3233,Yes,No,No,9,868,3,IT Projects Management,Landing Page Submission
3234,Yes,No,No,10,762,5,Finance Management,Landing Page Submission
3235,Yes,No,No,4,1462,4,Human Resource Management,Landing Page Submission
3236,No,No,No,4,121,4,Finance Management,Landing Page Submission
3237,Yes,No,No,0,0,0,IT Projects Management,API
3238,Yes,No,No,5,1653,5,Travel and Tourism,Landing Page Submission
3239,No,No,No,0,0,0,,API
3240,No,Yes,No,3,1234,3,Finance Management,Landing Page Submission
3241,No,No,No,1,1462,1,Travel and Tourism,Landing Page Submission
3242,Yes,No,No,4,973,1.33,Business Administration,Landing Page Submission
3243,No,No,No,10,1318,2.5,International Business,Landing Page Submission
3244,No,Yes,No,1,1771,1,Finance Management,Landing Page Submission
3245,Yes,No,No,4,692,4,Operations Management,Landing Page Submission
3246,No,No,No,4,641,2,Marketing Management,Landing Page Submission
3247,Yes,No,No,8,1797,2.67,International Business,Landing Page Submission
3248,No,No,No,1,1136,1,Marketing Management,Landing Page Submission
3249,Yes,No,No,2,1844,2,International Business,Landing Page Submission
3250,Yes,No,No,2,695,2,Business Administration,Landing Page Submission
3251,No,No,No,0,0,0,,API
3252,No,No,No,2,498,2,Human Resource Management,Landing Page Submission
3253,No,No,No,1,9,1,Operations Management,Landing Page Submission
3254,No,No,No,5,329,5,Finance Management,Landing Page Submission
3255,No,No,No,4,240,2,Business Administration,Landing Page Submission
3256,No,No,No,1,153,1,,API
3257,No,No,No,2,94,2,Operations Management,Landing Page Submission
3258,No,No,No,3,126,1.5,Hospitality Management,Landing Page Submission
3259,No,No,No,0,0,0,,API
3260,No,No,No,0,0,0,,API
3261,No,No,No,0,0,0,,API
3262,Yes,No,No,0,0,0,Operations Management,API
3263,No,No,No,0,0,0,Marketing Management,Lead Add Form
3264,No,No,No,2,279,2,,API
3265,No,No,No,0,0,0,,API
3266,Yes,No,No,2,1512,2,Operations Management,Landing Page Submission
3267,Yes,No,No,2,9,2,Finance Management,Landing Page Submission
3268,Yes,No,No,0,0,0,,Lead Add Form
3269,Yes,No,No,0,0,0,,Lead Add Form
3270,No,No,No,0,0,0,,API
3271,Yes,No,No,2,1238,2,Supply Chain Management,Landing Page Submission
3272,No,No,No,4,157,4,,API
3273,Yes,No,No,0,0,0,,Lead Add Form
3274,No,No,No,0,0,0,,API
3275,No,No,No,4,126,2,Healthcare Management,Landing Page Submission
3276,No,No,No,0,0,0,,API
3277,No,No,No,4,95,4,Operations Management,Landing Page Submission
3278,No,No,No,5,150,1.67,,API
3279,Yes,No,No,4,1185,4,Human Resource Management,Landing Page Submission
3280,No,No,No,2,117,2,,API
3281,No,No,No,4,135,4,,API
3282,No,No,No,2,547,1,Supply Chain Management,API
3283,Yes,No,No,4,1602,1.33,Operations Management,Landing Page Submission
3284,No,No,No,3,449,1.5,,API
3285,No,No,No,0,0,0,,API
3286,Yes,No,No,8,1144,2,Marketing Management,Landing Page Submission
3287,Yes,No,No,0,0,0,,Lead Add Form
3288,Yes,No,No,0,0,0,Human Resource Management,Lead Add Form
3289,Yes,No,No,0,0,0,Business Administration,Lead Add Form
3290,Yes,No,No,0,0,0,,Lead Add Form
3291,Yes,No,No,1,1054,1,Operations Management,Lead Add Form
3292,Yes,Yes,No,0,0,0,,Lead Add Form
3293,No,No,No,0,0,0,,API
3294,Yes,No,No,10,697,10,Services Excellence,Landing Page Submission
3295,No,No,No,5,213,5,,API
3296,No,No,No,4,86,4,International Business,Landing Page Submission
3297,Yes,No,No,8,1288,8,Finance Management,Landing Page Submission
3298,No,No,No,7,85,3.5,Rural and Agribusiness,Landing Page Submission
3299,Yes,No,No,3,482,3,Human Resource Management,Landing Page Submission
3300,Yes,No,No,0,0,0,Human Resource Management,Lead Add Form
3301,No,Yes,No,2,310,2,Hospitality Management,Landing Page Submission
3302,No,Yes,No,5,181,5,Travel and Tourism,Landing Page Submission
3303,No,No,No,4,60,4,Operations Management,Landing Page Submission
3304,No,No,No,0,0,0,,API
3305,Yes,No,No,0,0,0,,API
3306,No,No,No,0,0,0,,API
3307,Yes,No,No,8,205,2.67,Human Resource Management,Landing Page Submission
3308,Yes,No,No,4,1286,4,Human Resource Management,Landing Page Submission
3309,No,No,No,2,114,2,,API
3310,No,No,No,3,145,3,Finance Management,Landing Page Submission
3311,Yes,No,No,1,1172,1,,API
